UP0017-NPUA30073_00-UPAYDAYGAME00000;1;Payday - The Heist (US);;UNLOCK/LICENSE BY DLC;http://zeus.dl.playstation.net/cdn/UP0017/NPUA30073_00/jMTnWLxDIzVoYQbIlNztdLvCnBNhyYlMTJImZanyKyyJgdACzkOCpZmtCxufdwhhoFSQEdRVdXBKYqtuucMYNgNpsFKSkNNMOopks.pkg;2541017568;;2017-11-28 02:21:05;US
UP9000-NPUA70046_00-DEMOSHIP04171417;1;Infamous demo (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP9000/NPUA70046_00/9XTKhOvnJXw3iVUaRtoVh2GIxtsEnvphgTyOWCoPHJj7iU0I2GtvppIpsVWRcUbauQm2cSPHLePMaDCFq6lKoQhYWwXgodIhxtkQP.pkg;1239825616;;2018-02-06 20:04:35;US
UP9000-NPUA70126_00-DOWNLOADMAG00001;1;MAG (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP9000/NPUA70126_00/ffMzBBXDedxaPJJXeHVGyqzoAzeEuJMYHACcAZrhSEBHJTjJiWYwbIMmIMZEmHexcULizPuvVaMMoQZbCNhINAECmlcBMeWxacuvH.pkg;5004977504;;2017-11-26 22:04:39;US
UP9000-NPUA70167_00-KZ3MPONLY0000000;1;Killzone 3 Multiplayer (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP9000/NPUA70167_00/bGcKVBsyiAotSuhxdUmXjitiglHrHkHmpNUdohMINHTOvqXlMEfEMNBTRDsfpMRAzlsGnQTpgWocBnqutIKXVuwhbbivqjNgodYjs.pkg;4265167216;;2017-11-26 22:04:39;US
UP9000-NPUA80001_00-FLOWPLAYSTATION3;1;flOw (US);;3019E08AD65A19D5BA61CC338BBFC8F7;http://zeus.dl.playstation.net/cdn/UP9000/NPUA80001_00/iBDQhUOAmiA8nHE0HEqe6T2aC6Fk1uIGcIS3KB0uTsq2TgjnA62bm9NTTgSOtbJs2fLX8K0DL7npGNtESvHrFrRcRl9HcBJtioaqA.pkg;131017248;;2018-01-29 13:18:44;US
UP9000-NPUA80001_00-FLOWPS3PROMOTION;1;flOw Promotion (US);;5417E138C6ACD29F05432A8029315E70;http://zeus.dl.playstation.net/cdn/UP9000/NPUA80001_00/JXm8CKOhtxIv8X4LkvlmRwfTXMDV4OqpOsiiPwYQdNqvsshAshIDFGeSc8i1khI8KsHc3Fe5TlG1jPJuWla10re4KOMAiWmCr1lfQ.pkg;131017248;;2017-11-28 02:30:24;US
EP9000-NPUA80002_00-BLASTFACTORDEMO1;1;Blast Factor (EU);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/EP9000/NPUA80002_00/laYELyMBfjCyqd6KVjGHcrYDi0C7o8OV1fGGfaeIXlnjXY2QhKQ9nBgVtdwlww9DowAp0VU0unn1sKGwiysP75Ktn6cVEPlUJECJe.pkg;140149264;;2018-02-06 20:04:44;EU
UP9000-NPUA80008_00-DETUNED000000001;1;Detuned (US);;03534725AF237CD4AC674A8ABB713BCA;http://zeus.dl.playstation.net/cdn/UP9000/NPUA80008_00/E3NjWOmPJjdQGYAc58xKJueh0lEeXUV0iyRsXXLkAUOjXicsXhFu06IJSaRu6U2TVPxeS06Bomi9dnwGh5dAYm17J6fHjwRRxd6JP.pkg;54841920;;2017-11-28 02:30:24;US
UP9000-NPUA80009_00-0LINGERINSHADOWS;1;Linger In Shadows (US);;41EFDDD8EAEC8047C45251E8C00ADB64;http://zeus.dl.playstation.net/cdn/UP9000/NPUA80009_00/p5iRLNPPrOLmwhDs2pJ1UIdEV63c64qfFtB9J51AsqhNb0gmFAD8IjgeTJJsFPAsoE0BF8COvlNCPcIsafOlM2onuAsnpmvfwQ8Gb.pkg;105430816;;2017-11-28 02:30:24;US
UP9000-NPUA80011_00-GOSUDOKU00000000;1;Go Sudoku (US);;NOT REQUIRED;http://ares.dl.playstation.net/cdn/UP9000/NPUA80011_00/Cm5KFmL8DL9nbY5CBIJ40nx4L8opreET9wWAx41eewo0a0rk4UlwVawT8ABpdfegAWigmxGRwuY5E9aDaP7g3XkcRoDgd9oD857e7.pkg;81233296;;2018-02-06 20:12:17;US
